date,price
2/8/2022 15:50,43445.12
2/8/2022 15:51,43430.08
2/8/2022 15:52,43419.18
2/8/2022 15:53,43519.33
2/8/2022 15:54,43491.33
2/8/2022 15:55,43476.22
2/8/2022 15:56,43494.07
2/8/2022 15:57,43488.17
2/8/2022 15:58,43492.80
2/8/2022 15:59,43481.18
2/8/2022 16:00,43577.05
2/8/2022 16:01,43521.11
2/8/2022 16:02,43534.16
2/8/2022 16:03,43483.66
2/8/2022 16:04,43416.67
2/8/2022 16:05,43418.59
2/8/2022 16:06,43349.35
2/8/2022 16:07,43383.88
2/8/2022 16:08,43398.22
2/8/2022 16:09,43439.22
2/8/2022 16:10,43452.92
2/8/2022 16:11,43441.99
2/8/2022 16:12,43386.11
2/8/2022 16:13,43487.57
2/8/2022 16:14,43492.60
2/8/2022 16:15,43506.19
2/8/2022 16:16,43639.30
2/8/2022 16:17,43608.18
2/8/2022 16:18,43618.57
2/8/2022 16:19,43629.57
2/8/2022 16:20,43636.00
2/8/2022 16:21,43568.70
2/8/2022 16:22,43563.21
2/8/2022 16:23,43583.54
2/8/2022 16:24,43640.26
2/8/2022 16:25,43607.87
2/8/2022 16:26,43607.87
2/8/2022 16:27,43641.16
2/8/2022 16:28,43644.86
2/8/2022 16:29,43644.62
2/8/2022 16:30,43709.67
2/8/2022 16:31,43697.08
2/8/2022 16:32,43666.77
2/8/2022 16:33,43671.23
2/8/2022 16:34,43645.84
2/8/2022 16:35,43628.08
2/8/2022 16:36,43598.85
2/8/2022 16:37,43624.44
2/8/2022 16:38,43612.54
2/8/2022 16:39,43610.12
2/8/2022 16:40,43612.65
2/8/2022 16:41,43603.45
2/8/2022 16:42,43584.39
2/8/2022 16:43,43528.04
2/8/2022 16:44,43552.66
2/8/2022 16:45,43565.72
2/8/2022 16:46,43577.03
2/8/2022 16:47,43589.82
2/8/2022 16:48,43421.90
2/8/2022 16:49,43252.82
2/8/2022 16:50,43260.09
2/8/2022 16:51,43141.86
2/8/2022 16:52,43152.86
2/8/2022 16:53,43119.67
2/8/2022 16:54,43100.00
2/8/2022 16:55,43113.64
2/8/2022 16:56,43047.74
2/8/2022 16:57,43063.04
2/8/2022 16:58,43088.54
2/8/2022 16:59,43031.60
2/8/2022 17:00,43195.28
2/8/2022 17:01,43160.36
2/8/2022 17:02,43109.55
2/8/2022 17:03,43099.70
2/8/2022 17:04,42995.08
2/8/2022 17:05,42937.37
2/8/2022 17:06,42969.17
2/8/2022 17:07,42957.35
2/8/2022 17:08,42938.21
2/8/2022 17:09,42986.78
2/8/2022 17:10,43079.64
2/8/2022 17:11,43069.26
2/8/2022 17:12,42999.47
2/8/2022 17:13,43015.77
2/8/2022 17:14,43022.33
2/8/2022 17:15,43077.90
2/8/2022 17:16,43096.15
2/8/2022 17:17,43072.86
2/8/2022 17:18,43096.43
2/8/2022 17:19,43131.84
2/8/2022 17:20,43091.86
2/8/2022 17:21,43110.81
2/8/2022 17:22,43112.92
2/8/2022 17:23,43075.54
2/8/2022 17:24,43104.90
2/8/2022 17:25,43038.98
2/8/2022 17:26,43013.47
2/8/2022 17:27,42987.44
2/8/2022 17:28,42900.00
2/8/2022 17:29,42912.31
2/8/2022 17:30,42947.81
2/8/2022 17:31,42976.37
2/8/2022 17:32,42953.60
2/8/2022 17:33,42922.89
2/8/2022 17:34,42780.30
2/8/2022 17:35,42738.21
2/8/2022 17:36,42855.10
2/8/2022 17:37,42910.19
2/8/2022 17:38,42919.12
2/8/2022 17:39,42929.61
2/8/2022 17:40,43010.57
2/8/2022 17:41,43006.47
2/8/2022 17:42,42927.09
2/8/2022 17:43,42893.09
2/8/2022 17:44,42911.76
2/8/2022 17:45,42968.23
2/8/2022 17:46,42982.85
2/8/2022 17:47,42960.72
2/8/2022 17:48,42923.01
2/8/2022 17:49,42892.40
2/8/2022 17:50,43006.98
2/8/2022 17:51,43038.93
2/8/2022 17:52,43078.32
2/8/2022 17:53,43035.28
2/8/2022 17:54,43002.97
2/8/2022 17:55,43049.32
2/8/2022 17:56,43044.85
2/8/2022 17:57,43008.89
2/8/2022 17:58,42972.98
2/8/2022 17:59,43003.64
2/8/2022 18:00,43002.56
2/8/2022 18:01,42951.98
2/8/2022 18:02,42994.16
2/8/2022 18:03,42993.53
2/8/2022 18:04,43020.44
2/8/2022 18:05,43030.23
2/8/2022 18:06,43057.54
2/8/2022 18:07,43041.16
2/8/2022 18:08,43051.75
2/8/2022 18:09,43058.71
2/8/2022 18:10,43065.74
2/8/2022 18:11,43101.55
2/8/2022 18:12,43107.95
2/8/2022 18:13,43138.24
2/8/2022 18:14,43173.84
2/8/2022 18:15,43164.57
2/8/2022 18:16,43091.04
2/8/2022 18:17,43101.58
2/8/2022 18:18,43157.85
2/8/2022 18:19,43179.87
2/8/2022 18:20,43168.99
2/8/2022 18:21,43167.25
2/8/2022 18:22,43181.46
2/8/2022 18:23,43161.36
2/8/2022 18:24,43147.14
2/8/2022 18:25,43139.31
2/8/2022 18:26,43123.25
2/8/2022 18:27,43164.18
2/8/2022 18:28,43208.09
2/8/2022 18:29,43193.47
2/8/2022 18:30,43204.14
2/8/2022 18:31,43246.12
2/8/2022 18:32,43283.17
2/8/2022 18:33,43231.29
2/8/2022 18:34,43231.11
2/8/2022 18:35,43290.29
2/8/2022 18:36,43254.62
2/8/2022 18:37,43279.78
2/8/2022 18:38,43200.43
2/8/2022 18:39,43138.84
2/8/2022 18:40,43182.15
2/8/2022 18:41,43137.81
2/8/2022 18:42,43131.44
2/8/2022 18:43,43110.55
2/8/2022 18:44,43099.48
2/8/2022 18:45,43092.25
2/8/2022 18:46,43117.64
2/8/2022 18:47,43137.87
2/8/2022 18:48,43157.35
2/8/2022 18:49,43156.56
2/8/2022 18:50,43085.95
2/8/2022 18:51,43026.03
2/8/2022 18:52,42958.42
2/8/2022 18:53,42924.87
2/8/2022 18:54,42927.50
2/8/2022 18:55,42931.64
2/8/2022 18:56,42962.32
